timestamp_minute,road_id,vehicle_count,avg_speed_kmph,road_length_km,engine_load_factor,estimated_fuel_L,carbon_emission_gps
0,1,5,44.73,1.034,0.88,0.0102,0.39
1,1,4,46.83,0.524,1.05,0.0047,0.18
2,1,4,47.94,0.556,0.96,0.0044,0.17
3,1,5,20.95,1.197,1.1,0.0314,1.21
4,1,5,20.2,1.089,0.95,0.0257,0.99
0,2,3,26.57,1.93,1.1,0.0239,0.92
1,2,5,32.94,1.943,1.18,0.0347,1.33
2,2,4,38.36,0.161,0.81,0.0014,0.05
3,2,6,46.01,0.319,0.83,0.0034,0.13
4,2,7,40.96,1.287,1.27,0.028,1.08
0,3,2,28.19,0.783,0.95,0.0053,0.2
1,3,5,42.07,0.162,1.02,0.002,0.08
2,3,5,49.87,0.171,0.76,0.0013,0.05
3,3,6,45.41,1.353,1.13,0.0201,0.78
4,3,4,28.08,1.617,1.05,0.0241,0.93
0,4,6,32.17,1.191,1.29,0.0286,1.1
1,4,6,54.54,1.739,0.72,0.0138,0.53
2,4,1,42.17,1.893,0.99,0.0044,0.17
3,4,7,55.86,0.913,0.99,0.0113,0.44
4,4,2,36.16,1.906,0.98,0.0103,0.4
0,5,11,35.3,0.906,0.75,0.021,0.81
1,5,4,47.66,0.386,1.28,0.0041,0.16
2,5,3,42.73,0.832,0.83,0.0049,0.19
3,5,8,44.42,0.405,0.78,0.0057,0.22
4,5,3,58.65,0.21,0.85,0.0009,0.04
0,6,3,40.53,0.116,1.05,0.0009,0.03
1,6,5,38.31,0.657,0.87,0.0075,0.29
2,6,8,31.66,0.762,1.26,0.0243,0.94
3,6,3,33.94,0.872,1.03,0.008,0.31
4,6,2,36.38,0.964,0.94,0.005,0.19
0,7,5,33.74,0.512,0.78,0.0059,0.23
1,7,3,34.39,1.401,0.7,0.0086,0.33
2,7,8,52.51,1.488,0.99,0.0225,0.87
3,7,10,34.26,1.145,1.29,0.0429,1.65
4,7,3,28.93,0.955,1.21,0.012,0.46
0,8,2,35.72,1.949,0.81,0.0088,0.34
1,8,5,50.83,1.807,0.98,0.0175,0.67
2,8,7,36.43,0.881,1.06,0.0179,0.69
3,8,6,39.95,1.041,1.2,0.0188,0.72
4,8,6,34.98,0.901,1.28,0.0197,0.76
0,9,2,46.78,1.7,1.02,0.0074,0.29
1,9,4,54.02,0.363,1.25,0.0034,0.13
2,9,9,43.77,0.235,0.76,0.0037,0.14
3,9,7,42.31,0.127,1.29,0.0027,0.1
4,9,11,40.26,1.157,0.85,0.027,1.04
0,10,8,61.14,1.212,0.83,0.0132,0.51
1,10,3,24.45,1.26,1.25,0.0193,0.74
2,10,2,21.56,0.409,1.29,0.0049,0.19
3,10,3,33.21,1.469,0.83,0.011,0.42
4,10,4,51.53,0.104,1.13,0.0009,0.04
0,11,5,63.96,1.445,1.18,0.0133,0.51
